optimizer,time_decay,exp_wd,optimizer_name_unc,exp_lr_unc,exp_lr,n_blocks,d_token,attention_dropout,res_drop,ffn_dropout,ffn_factor,accuracy,ce_loss,desired_coverage,coverage,reject_rate,ce_loss_rej,accuracy_rej,auc,auc_rej,pos_rate,bss,brier,bss_rej,brier_rej,pos_rate_rej,meta,dataset,trial,time_to_fit,model_type,exp_lamda,alpha,pretrain,momentum,d_main,hidden_factor,dropout_first,dropout_second,residual_dropout,momentum_sgd,nesterov,exp_beta,reward,momentum_sgd_unc,nesterov_unc,viol,max_viol_trial,avg_perf,min_avg_perf,avg_viol_trial,b_norm,n_estimators,reg_alpha,reg_lambda,folds,zero_init_residual
Adam,False,-6.0,SGD,-5.0,-3.0,,,,,,,0.9919451585261354,0.0332732524454681,0.99,0.9915038232795242,0.0084961767204757,0.0288578978135551,0.98,0.9999360691567478,-1.0,,,,,,,reg,organamnist,19.0,4423.779895544052,Resnet18,,,,,,,,,,,,,,0.98,True,0.0015038232795242,0.0031860662701784,0.0348918792595961,0.0348918792595961,,,,,,,True
Adam,False,-3.0,AdamW,-7.0,-4.0,,,,,,,0.9460616438356164,0.1769274508971142,0.99,0.9873203719357564,0.0126796280642434,0.3953967609320334,0.9333333333333332,0.9982770530516551,-1.0,,,,,,,reg,organcmnist,15.0,2094.150499820709,Resnet18,,,,,,,,,,,,,,,,0.0026796280642436,0.005156382079459,0.1722408792961489,0.1722408792961489,,,,,,,True
AdamW,True,-4.0,Adam,-7.0,-2.0,,,,,,,0.8938658032020147,0.3085396273136396,0.99,0.991616125579736,0.008383874420264,0.2744911024325657,0.9042553191489362,0.7226016226103954,0.7869281045751634,0.1028962043533009,0.0490403691372542,0.0877817290911946,-0.0133116299405635,0.0791356709296387,0.0957446808510638,reg,chestmnist,16.0,7993.037510871887,Resnet18,,,,,,,,,,,,,,,,0.001616125579736,0.0039957188726365,0.3007180859677756,0.3007180859677756,,,,,,,False
Adam,True,-4.0,AdamW,-3.0,-4.0,,,,,,,0.7272727272727273,0.566953797070556,0.99,0.9871794871794872,0.0128205128205127,0.1550077545043147,1.0,0.6360544217687074,-1.0,0.7272727272727273,0.0479813978454828,0.188841774902893,-1.605245710905217,0.020618508408976,1.0,reg,breastmnist,16.0,265.22696471214294,Resnet18,,,,,,,,,,,,,,,,0.0028205128205127,0.0346153846153846,0.5658676784792681,0.5658676784792681,,,,,,,True
SGD,True,-4.0,Adam,-4.0,-1.0,,,,,,,0.7585858585858586,0.6742818471652263,0.99,0.9880239520958084,0.0119760479041916,0.8887075613114335,0.6666666666666666,0.86747495797055,-1.0,,,,,,,reg,dermamnist,11.0,1068.6448085308075,Resnet18,,,,,,,,,,0.99,False,,,,,0.0019760479041915,0.0082834331337325,0.6422908851903121,0.6422908851903121,,,,,,,True
Adam,False,-6.0,SGD,-6.0,-2.0,,,,,,,0.9509456264775412,0.1506849096782041,0.99,0.9894736842105264,0.0105263157894737,0.4830698690125585,0.9444444444444444,0.9977085923649188,-1.0,,,,,,,reg,bloodmnist,14.0,1571.88285446167,Resnet18,,,,,,,,,,,,,,0.9,False,0.0005263157894735,0.0128654970760233,0.1515552894706271,0.1515552894706271,,,,,,,True
Adam,False,-6.0,SGD,-3.0,-3.0,,,,,,,0.9706896551724138,0.0848728189232753,0.99,0.9897610921501706,0.0102389078498293,0.2077335670995646,0.8333333333333334,0.9950664136622392,1.0,0.7327586206896551,0.8932728217047967,0.0209008156269279,0.9309451400417714,0.0657203723430431,0.5,reg,pneumoniamnist,10.0,757.0901403427124,Resnet18,,,,,,,,,,,,,,0.9,False,0.0002389078498293,0.0071672354948805,0.0926861975736516,0.0926861975736516,,,,,,,True
SGD,True,-4.0,Adam,-6.0,-1.0,,,,,,,0.6151640922510804,1.0438543836824743,0.99,0.9886628029950506,0.0113371970049493,1.1012976119445663,0.5895522388059702,0.9108983585112032,0.9147905707044192,,,,,,,reg,tissuemnist,10.0,16607.119183301926,Resnet18,,,,,,,,,,0.97,False,,,,,0.0013371970049493,0.0013371970049493,1.0455169297119176,1.0455169297119176,,,,,,,True
SGD,True,-5.0,Adam,-6.0,-2.0,,,,,,,0.8930916489410894,0.3013333900356661,0.99,0.989205013265026,0.0107949867349739,0.2792090024818408,0.8898305084745762,0.9685372818722836,0.9817051555839912,,,,,,,reg,octmnist,13.0,8076.785208702087,Resnet18,,,,,,,,,,0.99,True,,,,,0.000794986734974,0.0092123319001006,0.3016645126098336,0.3016645126098336,,,,,,,True
SGD,True,-5.0,Adam,-7.0,-1.0,,,,,,,0.9666163711806866,0.1356946139371989,0.99,0.989363687255085,0.010636312744915,0.0545182904093227,0.9824561403508772,0.9991609846562052,0.9992283950617288,,,,,,,reg,pathmnist,19.0,8027.084336519241,Resnet18,,,,,,,,,,0.97,True,,,,,0.000636312744915,0.0050009330098899,0.1469875301655891,0.1469875301655891,,,,,,,True
SGD,True,-4.0,Adam,-6.0,-1.0,,,,,,,0.5192307692307693,1.1646487755616586,0.99,0.975,0.025,0.9009229781451372,0.5,0.7356818397099727,-1.0,,,,,,,reg,retinamnist,11.0,307.84879064559937,Resnet18,,,,,,,,,,0.99,False,,,,,0.015,0.0187499999999999,1.1186032269810795,1.1186032269810795,,,,,,,True
Adam,False,-3.0,AdamW,-7.0,-4.0,,,,,,,0.884046381447421,0.3202390185649847,0.99,0.9916732751784298,0.0083267248215701,0.0049784793701096,1.0,0.9876419217624148,-1.0,,,,,,,reg,organsmnist,11.0,2656.4353108406067,Resnet18,,,,,,,,,,,,,,,,0.0016732751784298,0.0025376685170499,0.3185245097202906,0.3185245097202906,,,,,,,True
